first,second
23.8736,2181.00
23.8881,2710.50
23.9025,3130.00
23.9169,3649.00
23.9313,4147.00
23.9457,4406.00
23.9601,4736.65
23.9745,4560.65
23.9889,4312.51
24.0033,4276.19
24.0177,4236.28
24.0321,4229.12
24.0465,4409.21
24.0609,4618.00
24.0753,4784.00
24.0898,4483.00
24.1042,4138.00
24.1186,3668.00
24.1330,3310.00
24.1474,2890.00
24.1618,2312.56
24.1762,1845.95
24.1906,1528.74
24.2050,1188.00
24.2194,1144.00
24.2338,1019.67
24.2482,871.30
24.2626,824.00
24.2770,790.00
24.2915,810.00
24.3059,813.00
24.3203,745.50
24.3347,742.00
24.3491,814.00
24.3635,777.67
24.3779,797.63
24.3923,724.47
24.4067,758.74
24.4211,750.05
24.4355,736.74
24.4499,743.91
24.4643,710.00
24.4788,769.00
24.4932,757.00
24.5076,712.00
24.5220,766.50
24.5364,677.00
24.5508,710.14
24.5652,773.58
24.5796,730.60
24.5940,706.05
24.6084,718.33
24.6228,709.12
24.6372,726.51
24.6516,765.00
24.6660,681.00
24.6805,695.50
24.6949,765.00
24.7093,695.50
24.7237,685.00
24.7381,740.00
24.7525,728.56
24.7669,731.63
24.7813,738.28
24.7957,711.16
24.8101,699.91
24.8245,739.81
24.8389,676.37
24.8533,734.00
24.8678,707.50
24.8822,725.00
24.8966,695.00
24.9110,743.00
24.9254,708.00
24.9398,707.00
24.9542,750.05
24.9686,708.09
24.9830,723.44
24.9974,708.09
25.0118,700.93
25.0262,719.35
25.0406,739.81
25.0550,699.00
25.0695,740.00
25.0839,709.00
25.0983,735.00
25.1127,700.00
25.1271,703.00
25.1415,682.00
25.1559,680.47
25.1703,721.40
25.1847,695.81
25.1991,690.70
25.2135,681.49
25.2279,695.81
25.2423,643.63
25.2568,749.50
25.2712,698.00
25.2856,668.50
25.3000,680.00
25.3144,656.00
25.3288,689.00
25.3432,686.50
25.3576,653.86
25.3720,713.21
25.3864,687.12
25.4008,640.56
25.4152,755.16
25.4296,695.81
25.4440,661.02
25.4585,672.00
25.4729,706.00
25.4873,701.00
25.5017,699.00
25.5161,720.00
25.5305,716.00
25.5449,693.00
25.5593,716.28
25.5737,676.37
25.5881,718.33
25.6025,750.05
25.6169,726.51
25.6313,670.23
25.6457,669.21
25.6602,682.00
25.6746,695.00
25.6890,724.50
25.7034,649.00
25.7178,693.00
25.7322,691.00
25.7466,707.00
25.7610,686.60
25.7754,672.28
25.7898,698.88
25.8042,688.14
25.8186,705.02
25.8330,756.19
25.8475,748.00
25.8619,739.00
25.8763,788.00
25.8907,878.00
25.9051,880.00
25.9195,975.00
25.9339,1121.00
25.9483,1244.00
25.9627,1330.23
25.9771,1618.79
25.9915,1888.93
26.0059,2333.02
26.0203,2869.21
26.0347,3440.19
26.0492,3943.63
26.0636,4630.50
26.0780,5014.00
26.0924,5537.00
26.1068,5827.00
26.1212,6114.00
26.1356,6193.00
26.1500,6239.81
26.1644,6075.07
26.1788,5796.74
26.1932,5316.33
26.2076,4769.91
26.2220,4058.23
26.2365,3557.86
26.2509,2929.00
26.2653,2365.50
26.2797,2047.00
26.2941,1645.00
26.3085,1358.00
26.3229,1150.00
26.3373,886.00
26.3517,839.58
26.3661,826.79
26.3805,759.26
26.3949,745.95
26.4093,761.30
26.4237,725.49
26.4382,741.86
